k,PSNR,SSIM
1,14.445198592055293,0.7651337872303893
5,20.34797221665424,0.779434419562845
10,22.90675236546932,0.784555175326517
20,25.44310389942907,0.7899318721373356
50,28.667463910362954,0.7997827330314379
100,31.237550708166886,0.8147064646406099
200,33.40154765258143,0.8376904779579939
400,35.24849427472428,0.8704895316916088
600,36.602859433090075,0.8953028636194704
800,37.88134246689413,0.9158856308712441
1000,39.14540267089876,0.9332174813357916
